,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
69,,4,PPD/PSD,1,1,1,4,46.17,1,6941,Vale de Cambra,Aveiro,0,250,1.66,,False,245,1.63,9,15034,66.31,José António Bastos da Silva,2009
70,,0,PS,0,0,1,0,10.76,0,1617,Vale de Cambra,Aveiro,0,250,1.66,,False,245,1.63,9,15034,66.31,Carlos Gabriel Almeida Amorim,2009
71,,0,B.E.,0,0,1,0,1.28,0,342,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,Vítor Manuel Aguiar Gomes,2009
72,,0,CDS-PP,0,0,1,0,5.16,0,1379,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,José Carlos Esmeraldo dos Santos,2009
73,,0,PCP-PEV,0,0,1,0,1.9,0,509,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,Nelson Manuel Nunes Leal,2009
74,,0,PND,0,0,1,0,0.39,0,105,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,Alexandra Isabel Ferreira Abrantes,2009
75,,3,PPD/PSD,0,0,1,3,34.14,0,9130,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,Manuel de Castro Azevedo,2009
76,,4,PS,1,1,1,4,54.48,1,14569,Águeda,Aveiro,0,454,1.7,,False,253,0.95,20,26741,60.96,Gil Nadais Resende da Fonseca,2009
77,,0,B.E.,0,0,1,0,2.6,0,418,Ílhavo,Aveiro,0,318,1.97,,False,153,0.95,4,16107,47.55,José Paulo Alves Corceiro,2009
78,,0,CDS-PP,0,0,1,0,5.22,0,841,Ílhavo,Aveiro,0,318,1.97,,False,153,0.95,4,16107,47.55,Francisco Luís Pereira da Rocha,2009
79,,0,PCP-PEV,0,0,1,0,3.04,0,490,Ílhavo,Aveiro,0,318,1.97,,False,153,0.95,4,16107,47.55,Fernando José de Jesus Marta,2009
80,,5,PPD/PSD,1,1,1,5,63.53,1,10233,Ílhavo,Aveiro,0,318,1.97,,False,153,0.95,4,16107,47.55,José Agostinho Ribau Esteves,2009
81,,2,PS,0,0,1,2,22.69,0,3654,Ílhavo,Aveiro,0,318,1.97,,False,153,0.95,4,16107,47.55,José Marinho Vaz,2009
82,,0,B.E.,0,0,1,0,1.69,0,303,Angra do Heroísmo,Açores,0,237,1.32,,False,137,0.76,19,17951,56.14,Orlando Manuel Labrusco Félix Guerreiro,2009
83,,1,CDS-PP,0,0,1,1,13.81,0,2479,Angra do Heroísmo,Açores,0,237,1.32,,False,137,0.76,19,17951,56.14,Artur Manuel Leal Lima,2009
84,,0,PCP-PEV,0,0,1,0,1.07,0,192,Angra do Heroísmo,Açores,0,237,1.32,,False,137,0.76,19,17951,56.14,António Gabriel Botelho da Fonseca,2009
85,,3,PPD/PSD,0,0,1,3,35.76,0,6419,Angra do Heroísmo,Açores,0,237,1.32,,False,137,0.76,19,17951,56.14,António Lima Cardoso Ventura,2009
86,,3,PS,1,0,1,3,45.59,1,8184,Angra do Heroísmo,Açores,0,237,1.32,,False,137,0.76,19,17951,56.14,Andreia Martins Cardoso da Costa,2009
87,,3,PPD/PSD,1,1,1,3,52.18,1,1378,Calheta (R.A.A.),Açores,0,37,1.4,,False,19,0.72,5,2641,69.66,Aires António Fagundes Reis,2009
88,,2,PS,0,0,1,2,45.7,0,1207,Calheta (R.A.A.),Açores,0,37,1.4,,False,19,0.72,5,2641,69.66,Rogério Paulo Lopes Soares Veiros,2009
89,,1,PPD/PSD,0,0,1,1,31.41,0,87,Corvo,Açores,0,5,1.81,,False,5,1.81,1,277,78.69,Deolinda Rosa Machado Vieira Estevão,2009
