,votesAbsoluteMajority,votesMandates,votesPercentage,votesPresidents,votesVotes,county,district,availableMandates,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidate,year,votesValidVotesPercentage,coalition,parties
74,False,0,0.39265547286937663,False,105,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,Alexandra Isabel Ferreira Abrantes,2009,0.4033187370361835,PND,['PND']
75,False,3,34.142328259975315,False,9130,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,Manuel de Castro Azevedo,2009,35.06952446800338,PPD/PSD,['PPD/PSD']
76,True,4,54.48188175460903,True,14569,Águeda,Aveiro,False,454,1.6977674731685426,253,0.9461127108185932,20,26741,60.96,Gil Nadais Resende da Fonseca,2009,55.96143504647768,PS,['PS']
77,False,0,2.595144968026324,False,418,Ílhavo,Aveiro,False,318,1.9742968895511268,153,0.9498975600670516,4,16107,47.55,José Paulo Alves Corceiro,2009,2.673317984139166,BE,['BE']
78,False,0,5.221332339976407,False,841,Ílhavo,Aveiro,False,318,1.9742968895511268,153,0.9498975600670516,4,16107,47.55,Francisco Luís Pereira da Rocha,2009,5.378613456126886,CDS-PP,['CDS-PP']
79,False,0,3.042155584528466,False,490,Ílhavo,Aveiro,False,318,1.9742968895511268,153,0.9498975600670516,4,16107,47.55,Fernando José de Jesus Marta,2009,3.1337938091583526,PCP-PEV,['PCP-PEV']
80,True,5,63.53138387036692,True,10233,Ílhavo,Aveiro,False,318,1.9742968895511268,153,0.9498975600670516,4,16107,47.55,José Agostinho Ribau Esteves,2009,65.44512663085187,PPD/PSD,['PPD/PSD']
81,False,2,22.685788787483702,False,3654,Ílhavo,Aveiro,False,318,1.9742968895511268,153,0.9498975600670516,4,16107,47.55,José Marinho Vaz,2009,23.369148119723715,PS,['PS']
82,False,0,1.6879282491226115,False,303,Angra do Heroísmo,Açores,False,237,1.3202607097097654,137,0.7631886802963623,19,17951,56.14,Orlando Manuel Labrusco Félix Guerreiro,2009,1.7238436593275304,BE,['BE']
83,False,1,13.809815609158264,False,2479,Angra do Heroísmo,Açores,False,237,1.3202607097097654,137,0.7631886802963623,19,17951,56.14,Artur Manuel Leal Lima,2009,14.103658189679697,CDS-PP,['CDS-PP']
84,False,0,1.0695782964737341,False,192,Angra do Heroísmo,Açores,False,237,1.3202607097097654,137,0.7631886802963623,19,17951,56.14,António Gabriel Botelho da Fonseca,2009,1.092336576207544,PCP-PEV,['PCP-PEV']
85,False,3,35.75845356804635,False,6419,Angra do Heroísmo,Açores,False,237,1.3202607097097654,137,0.7631886802963623,19,17951,56.14,António Lima Cardoso Ventura,2009,36.519315013938666,PPD/PSD,['PPD/PSD']
86,False,3,45.590774887192914,True,8184,Angra do Heroísmo,Açores,False,237,1.3202607097097654,137,0.7631886802963623,19,17951,56.14,Andreia Martins Cardoso da Costa,2009,46.56084656084656,PS,['PS']
87,True,3,52.17720560393791,True,1378,Calheta (R.A.A.),Açores,False,37,1.4009844755774328,19,0.7194244604316548,5,2641,69.66,Aires António Fagundes Reis,2009,53.30754352030947,PPD/PSD,['PPD/PSD']
88,False,2,45.70238546005301,False,1207,Calheta (R.A.A.),Açores,False,37,1.4009844755774328,19,0.7194244604316548,5,2641,69.66,Rogério Paulo Lopes Soares Veiros,2009,46.69245647969052,PS,['PS']
89,False,1,31.40794223826715,False,87,Corvo,Açores,False,5,1.8050541516245486,5,1.8050541516245486,1,277,78.69,Deolinda Rosa Machado Vieira Estevão,2009,32.58426966292135,PPD/PSD,['PPD/PSD']
90,True,4,64.98194945848375,True,180,Corvo,Açores,False,5,1.8050541516245486,5,1.8050541516245486,1,277,78.69,Manuel das Pedras Rita,2009,67.41573033707866,PS,['PS']
91,False,0,1.4492753623188406,False,123,Horta,Açores,False,139,1.6377989866855192,60,0.7069635913750442,13,8487,65.06,Maria José Ferreira da Silva,2009,1.484073359073359,BE,['BE']
