,alternateCandidates,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
36,,['Cláudia Patrícia de Pinho Ribeiro'],0,B.E.,0,0,B.E.,1,0,2.39,0,938,"{'availableMandates': 0, 'blankVotes': 700, 'blankVotesPercentage': 1.78, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 463, 'nullVotesPercentage': 1.18, 'numberParishes': 19, 'numberVoters': 39239, 'percentageVoters': 64.39}",Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39
37,,['António Pinto Moreira'],0,CDS-PP,0,0,CDS-PP,1,0,7.46,0,2928,"{'availableMandates': 0, 'blankVotes': 700, 'blankVotesPercentage': 1.78, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 463, 'nullVotesPercentage': 1.18, 'numberParishes': 19, 'numberVoters': 39239, 'percentageVoters': 64.39}",Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39
38,,['António Costa Alves'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.79,0,703,"{'availableMandates': 0, 'blankVotes': 700, 'blankVotesPercentage': 1.78, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 463, 'nullVotesPercentage': 1.18, 'numberParishes': 19, 'numberVoters': 39239, 'percentageVoters': 64.39}",Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39
39,,['Hermínio José Sobral de Loureiro Gonçalves'],5,PPD/PSD,1,1,PPD/PSD,1,5,44.83,1,17590,"{'availableMandates': 0, 'blankVotes': 700, 'blankVotesPercentage': 1.78, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 463, 'nullVotesPercentage': 1.18, 'numberParishes': 19, 'numberVoters': 39239, 'percentageVoters': 64.39}",Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39
40,,['Maria Helena Terra de Oliveira'],4,PS,0,0,PS,1,4,40.56,0,15917,"{'availableMandates': 0, 'blankVotes': 700, 'blankVotesPercentage': 1.78, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 463, 'nullVotesPercentage': 1.18, 'numberParishes': 19, 'numberVoters': 39239, 'percentageVoters': 64.39}",Oliveira de Azeméis,Aveiro,0,700,1.78,,False,463,1.18,19,39239,64.39
41,,['Acílio Domingues Gala'],2,CDS-PP,0,0,CDS-PP,1,2,31.49,0,3658,"{'availableMandates': 0, 'blankVotes': 179, 'blankVotesPercentage': 1.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 166, 'nullVotesPercentage': 1.43, 'numberParishes': 6, 'numberVoters': 11615, 'percentageVoters': 58.01}",Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01
42,,['Artur Pereira Ramísio'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.22,0,142,"{'availableMandates': 0, 'blankVotes': 179, 'blankVotesPercentage': 1.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 166, 'nullVotesPercentage': 1.43, 'numberParishes': 6, 'numberVoters': 11615, 'percentageVoters': 58.01}",Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01
43,,['Mário João Ferreira da Silva Oliveira'],4,PPD/PSD,1,1,PPD/PSD,1,4,53.58,1,6223,"{'availableMandates': 0, 'blankVotes': 179, 'blankVotesPercentage': 1.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 166, 'nullVotesPercentage': 1.43, 'numberParishes': 6, 'numberVoters': 11615, 'percentageVoters': 58.01}",Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01
44,,['Henrique Santiago Tomás'],1,PS,0,0,PS,1,1,10.74,0,1247,"{'availableMandates': 0, 'blankVotes': 179, 'blankVotesPercentage': 1.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 166, 'nullVotesPercentage': 1.43, 'numberParishes': 6, 'numberVoters': 11615, 'percentageVoters': 58.01}",Oliveira do Bairro,Aveiro,0,179,1.54,,False,166,1.43,6,11615,58.01
45,,['José David Mendes de Almeida'],0,B.E.,0,0,B.E.,1,0,9.4,0,2657,"{'availableMandates': 0, 'blankVotes': 605, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 368, 'nullVotesPercentage': 1.3, 'numberParishes': 8, 'numberVoters': 28252, 'percentageVoters': 58.79}",Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79
46,,['José dos Santos Cardoso Macedo'],0,PCP-PEV,0,0,PCP-PEV,1,0,4.86,0,1373,"{'availableMandates': 0, 'blankVotes': 605, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 368, 'nullVotesPercentage': 1.3, 'numberParishes': 8, 'numberVoters': 28252, 'percentageVoters': 58.79}",Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79
47,,['Álvaro Manuel Reis Santos'],3,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,3,33.31,0,9412,"{'availableMandates': 0, 'blankVotes': 605, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 368, 'nullVotesPercentage': 1.3, 'numberParishes': 8, 'numberVoters': 28252, 'percentageVoters': 58.79}",Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79
48,,['Manuel Alves de Oliveira'],4,PS,1,1,PS,1,4,48.98,1,13837,"{'availableMandates': 0, 'blankVotes': 605, 'blankVotesPercentage': 2.14, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 368, 'nullVotesPercentage': 1.3, 'numberParishes': 8, 'numberVoters': 28252, 'percentageVoters': 58.79}",Ovar,Aveiro,0,605,2.14,,False,368,1.3,8,28252,58.79
49,,['Joaquim Manuel de Oliveira Dias'],0,B.E.,0,0,B.E.,1,0,2.59,0,2049,"{'availableMandates': 0, 'blankVotes': 1351, 'blankVotesPercentage': 1.71, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 787, 'nullVotesPercentage': 1.0, 'numberParishes': 31, 'numberVoters': 79075, 'percentageVoters': 65.02}",Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02
50,,['Manuel José Alferes Pereira'],0,CDS-PP,0,0,CDS-PP,1,0,3.5,0,2767,"{'availableMandates': 0, 'blankVotes': 1351, 'blankVotesPercentage': 1.71, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 787, 'nullVotesPercentage': 1.0, 'numberParishes': 31, 'numberVoters': 79075, 'percentageVoters': 65.02}",Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02
51,,['Antero de Oliveira Resende'],0,PCP-PEV,0,0,PCP-PEV,1,0,2.52,0,1995,"{'availableMandates': 0, 'blankVotes': 1351, 'blankVotesPercentage': 1.71, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 787, 'nullVotesPercentage': 1.0, 'numberParishes': 31, 'numberVoters': 79075, 'percentageVoters': 65.02}",Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02
52,,['Alfredo Oliveira Henriques'],6,PPD/PSD,1,1,PPD/PSD,1,6,48.07,1,38008,"{'availableMandates': 0, 'blankVotes': 1351, 'blankVotesPercentage': 1.71, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 787, 'nullVotesPercentage': 1.0, 'numberParishes': 31, 'numberVoters': 79075, 'percentageVoters': 65.02}",Santa Maria da Feira,Aveiro,0,1351,1.71,,False,787,1.0,31,79075,65.02
