,effectiveCandidates,mandates,party,presidents,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
851,['Manuel Maria Abreu de Vilas Boas'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.75,0,1.83,198,"{'availableMandates': 0, 'blankVotes': 260, 'blankVotesPercentage': 2.3, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 224, 'nullVotesPercentage': 1.98, 'numberParishes': 14, 'numberVoters': 11312, 'percentageVoters': 64.15}",Baião,Porto,0,260,2.3,,False,224,1.98,14,11312,64.15
852,['Miguel Afonso Costa Lima Dinis Correia'],2,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,2,26.86,0,28.06,3038,"{'availableMandates': 0, 'blankVotes': 260, 'blankVotesPercentage': 2.3, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 224, 'nullVotesPercentage': 1.98, 'numberParishes': 14, 'numberVoters': 11312, 'percentageVoters': 64.15}",Baião,Porto,0,260,2.3,,False,224,1.98,14,11312,64.15
853,['Joaquim Paulo de Sousa Pereira'],5,PS,1,1,PS,1,5,67.11,1,70.11,7592,"{'availableMandates': 0, 'blankVotes': 260, 'blankVotesPercentage': 2.3, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 224, 'nullVotesPercentage': 1.98, 'numberParishes': 14, 'numberVoters': 11312, 'percentageVoters': 64.15}",Baião,Porto,0,260,2.3,,False,224,1.98,14,11312,64.15
854,['Rui Manuel Leite Miranda'],0,CDS-PP.NC,0,0,CDS-PP.NC,1,0,5.49,0,5.71,1900,"{'availableMandates': 0, 'blankVotes': 735, 'blankVotesPercentage': 2.12, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 605, 'nullVotesPercentage': 1.75, 'numberParishes': 20, 'numberVoters': 34605, 'percentageVoters': 66.47}",Felgueiras,Porto,0,735,2.12,,False,605,1.75,20,34605,66.47
855,['Joaquim Paulo Pinto Alves'],0,JPP,0,0,JPP,1,0,1.2,0,1.25,415,"{'availableMandates': 0, 'blankVotes': 735, 'blankVotesPercentage': 2.12, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 605, 'nullVotesPercentage': 1.75, 'numberParishes': 20, 'numberVoters': 34605, 'percentageVoters': 66.47}",Felgueiras,Porto,0,735,2.12,,False,605,1.75,20,34605,66.47
856,['Nuno Alexandre Martins da Fonseca'],5,L-PS,1,1,L-PS,1,5,47.42,1,49.33,16409,"{'availableMandates': 0, 'blankVotes': 735, 'blankVotesPercentage': 2.12, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 605, 'nullVotesPercentage': 1.75, 'numberParishes': 20, 'numberVoters': 34605, 'percentageVoters': 66.47}",Felgueiras,Porto,0,735,2.12,,False,605,1.75,20,34605,66.47
857,['António Fernando Marinho Peixoto'],0,PCP-PEV,0,0,PCP-PEV,1,0,1.97,0,2.05,683,"{'availableMandates': 0, 'blankVotes': 735, 'blankVotesPercentage': 2.12, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 605, 'nullVotesPercentage': 1.75, 'numberParishes': 20, 'numberVoters': 34605, 'percentageVoters': 66.47}",Felgueiras,Porto,0,735,2.12,,False,605,1.75,20,34605,66.47
858,['José Inácio Cardoso Ribeiro '],4,PPD/PSD.PPM,0,0,PPD/PSD.PPM,1,4,40.05,0,41.66,13858,"{'availableMandates': 0, 'blankVotes': 735, 'blankVotesPercentage': 2.12, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 605, 'nullVotesPercentage': 1.75, 'numberParishes': 20, 'numberVoters': 34605, 'percentageVoters': 66.47}",Felgueiras,Porto,0,735,2.12,,False,605,1.75,20,34605,66.47
859,['Rui Manuel Lourido Nóvoa'],0,B.E.,0,0,B.E.,1,0,3.56,0,3.73,2907,"{'availableMandates': 0, 'blankVotes': 1845, 'blankVotesPercentage': 2.26, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1918, 'nullVotesPercentage': 2.35, 'numberParishes': 7, 'numberVoters': 81614, 'percentageVoters': 56.15}",Gondomar,Porto,0,1845,2.26,,False,1918,2.35,7,81614,56.15
860,['Daniel Filipe Oliveira Vieira'],2,PCP-PEV,0,0,PCP-PEV,1,2,15.38,0,16.13,12556,"{'availableMandates': 0, 'blankVotes': 1845, 'blankVotesPercentage': 2.26, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1918, 'nullVotesPercentage': 2.35, 'numberParishes': 7, 'numberVoters': 81614, 'percentageVoters': 56.15}",Gondomar,Porto,0,1845,2.26,,False,1918,2.35,7,81614,56.15
861,['Rafael Gomes Amorim'],1,PPD/PSD.CDS-PP,0,0,PPD/PSD.CDS-PP,1,1,11.03,0,11.56,9003,"{'availableMandates': 0, 'blankVotes': 1845, 'blankVotesPercentage': 2.26, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1918, 'nullVotesPercentage': 2.35, 'numberParishes': 7, 'numberVoters': 81614, 'percentageVoters': 56.15}",Gondomar,Porto,0,1845,2.26,,False,1918,2.35,7,81614,56.15
862,['Marco André dos Santos Martins Lopes'],6,PS,1,1,PS,1,6,45.52,1,47.72,37147,"{'availableMandates': 0, 'blankVotes': 1845, 'blankVotesPercentage': 2.26, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1918, 'nullVotesPercentage': 2.35, 'numberParishes': 7, 'numberVoters': 81614, 'percentageVoters': 56.15}",Gondomar,Porto,0,1845,2.26,,False,1918,2.35,7,81614,56.15
863,['Valentim dos Santos de Loureiro'],2,VALENTIM,0,0,VALENTIM,1,2,19.9,0,20.86,16238,"{'availableMandates': 0, 'blankVotes': 1845, 'blankVotesPercentage': 2.26, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1918, 'nullVotesPercentage': 2.35, 'numberParishes': 7, 'numberVoters': 81614, 'percentageVoters': 56.15}",Gondomar,Porto,0,1845,2.26,,False,1918,2.35,7,81614,56.15
