,effectiveCandidates,party,votes.absoluteMajority,votes.acronym,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,total_votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters
654,['MARIA CLEMENTINA MORGADO HENRIQUES'],PCP-PEV,0,PCP-PEV,1,0,3.45,0,3.66,951,"{'availableMandates': 0, 'blankVotes': 915, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 678, 'nullVotesPercentage': 2.46, 'numberParishes': 13, 'numberVoters': 27603, 'percentageVoters': 56.79}",Alcobaça,Leiria,0,915,3.31,,False,678,2.46,13,27603,56.79
655,['HERMÍNIO JOSÉ DA CRUZ AUGUSTO RODRIGUES'],PPD/PSD,1,PPD/PSD,1,4,43.18,1,45.82,11919,"{'availableMandates': 0, 'blankVotes': 915, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 678, 'nullVotesPercentage': 2.46, 'numberParishes': 13, 'numberVoters': 27603, 'percentageVoters': 56.79}",Alcobaça,Leiria,0,915,3.31,,False,678,2.46,13,27603,56.79
656,['CARLOS MANUEL ALMEIDA GUERRA'],PS,0,PS,1,3,29.99,0,31.83,8279,"{'availableMandates': 0, 'blankVotes': 915, 'blankVotesPercentage': 3.31, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 678, 'nullVotesPercentage': 2.46, 'numberParishes': 13, 'numberVoters': 27603, 'percentageVoters': 56.79}",Alcobaça,Leiria,0,915,3.31,,False,678,2.46,13,27603,56.79
657,['RUI ALEXANDRE NUNES FERNANDES'],CH,0,CH,1,0,4.49,0,4.66,174,"{'availableMandates': 0, 'blankVotes': 71, 'blankVotesPercentage': 1.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 70, 'nullVotesPercentage': 1.81, 'numberParishes': 5, 'numberVoters': 3871, 'percentageVoters': 65.36}",Alvaiázere,Leiria,0,71,1.83,,False,70,1.81,5,3871,65.36
658,['PEDRO JOSÉ FURTADO ALVES'],PCP-PEV,0,PCP-PEV,1,0,1.16,0,1.21,45,"{'availableMandates': 0, 'blankVotes': 71, 'blankVotesPercentage': 1.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 70, 'nullVotesPercentage': 1.81, 'numberParishes': 5, 'numberVoters': 3871, 'percentageVoters': 65.36}",Alvaiázere,Leiria,0,71,1.83,,False,70,1.81,5,3871,65.36
659,['JOÃO PAULO CARVALHO GUERREIRO'],PPD/PSD,1,PPD/PSD,1,3,40.74,1,42.28,1577,"{'availableMandates': 0, 'blankVotes': 71, 'blankVotesPercentage': 1.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 70, 'nullVotesPercentage': 1.81, 'numberParishes': 5, 'numberVoters': 3871, 'percentageVoters': 65.36}",Alvaiázere,Leiria,0,71,1.83,,False,70,1.81,5,3871,65.36
660,['CARLOS JOSÉ DINIS SIMÕES'],PS,0,PS,1,2,39.58,0,41.07,1532,"{'availableMandates': 0, 'blankVotes': 71, 'blankVotesPercentage': 1.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 70, 'nullVotesPercentage': 1.81, 'numberParishes': 5, 'numberVoters': 3871, 'percentageVoters': 65.36}",Alvaiázere,Leiria,0,71,1.83,,False,70,1.81,5,3871,65.36
661,['ANTÓNIO MANUEL DA LUZ NEVES CARDO'],VA,0,VA,1,0,10.38,0,10.78,402,"{'availableMandates': 0, 'blankVotes': 71, 'blankVotesPercentage': 1.83, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 70, 'nullVotesPercentage': 1.81, 'numberParishes': 5, 'numberVoters': 3871, 'percentageVoters': 65.36}",Alvaiázere,Leiria,0,71,1.83,,False,70,1.81,5,3871,65.36
662,['NUNO MIGUEL ALVES DA COSTA AZEVEDO'],CDS-PP,0,CDS-PP,1,0,1.6,0,1.65,115,"{'availableMandates': 0, 'blankVotes': 145, 'blankVotesPercentage': 2.02, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 93, 'nullVotesPercentage': 1.29, 'numberParishes': 6, 'numberVoters': 7189, 'percentageVoters': 64.75}",Ansião,Leiria,0,145,2.02,,False,93,1.29,6,7189,64.75
663,['ADRIANO MARTINS RODRIGUES'],CH,0,CH,1,0,4.99,0,5.16,359,"{'availableMandates': 0, 'blankVotes': 145, 'blankVotesPercentage': 2.02, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 93, 'nullVotesPercentage': 1.29, 'numberParishes': 6, 'numberVoters': 7189, 'percentageVoters': 64.75}",Ansião,Leiria,0,145,2.02,,False,93,1.29,6,7189,64.75
664,['NÍDIA MARIA COUTINHO VALENTE'],PCP-PEV,0,PCP-PEV,1,0,1.28,0,1.32,92,"{'availableMandates': 0, 'blankVotes': 145, 'blankVotesPercentage': 2.02, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 93, 'nullVotesPercentage': 1.29, 'numberParishes': 6, 'numberVoters': 7189, 'percentageVoters': 64.75}",Ansião,Leiria,0,145,2.02,,False,93,1.29,6,7189,64.75
665,['CÉLIA CRISTINA MARTINS DOS SANTOS FREIRE'],PPD/PSD,0,PPD/PSD,1,3,40.84,0,42.24,2936,"{'availableMandates': 0, 'blankVotes': 145, 'blankVotesPercentage': 2.02, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 93, 'nullVotesPercentage': 1.29, 'numberParishes': 6, 'numberVoters': 7189, 'percentageVoters': 64.75}",Ansião,Leiria,0,145,2.02,,False,93,1.29,6,7189,64.75
666,['ANTÓNIO JOSÉ VICENTE DOMINGUES'],PS,1,PS,1,4,47.98,1,49.62,3449,"{'availableMandates': 0, 'blankVotes': 145, 'blankVotesPercentage': 2.02, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 93, 'nullVotesPercentage': 1.29, 'numberParishes': 6, 'numberVoters': 7189, 'percentageVoters': 64.75}",Ansião,Leiria,0,145,2.02,,False,93,1.29,6,7189,64.75
667,['RAUL MIGUEL DE CASTRO'],BTMI,1,BTMI,1,4,46.48,1,48.57,4070,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
668,['HORÁCIO MOITA FRANCISCO'],CDS-PP,0,CDS-PP,1,0,4.81,0,5.02,421,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
669,['SARA ALEXANDRA DUARTE DOS SANTOS'],CH,0,CH,1,0,4.68,0,4.89,410,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
670,['RICARDO ANTÓNIO MATIAS VALA'],IL,0,IL,1,0,3.13,0,3.27,274,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
671,['JOSÉ JOAQUIM FILIPE VALENTIM'],PCP-PEV,0,PCP-PEV,1,0,1.07,0,1.12,94,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
672,['PAULO JORGE BATISTA DOS SANTOS'],PPD/PSD,0,PPD/PSD,1,3,35.53,0,37.12,3111,"{'availableMandates': 0, 'blankVotes': 228, 'blankVotesPercentage': 2.6, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 149, 'nullVotesPercentage': 1.7, 'numberParishes': 4, 'numberVoters': 8757, 'percentageVoters': 62.6}",Batalha,Leiria,0,228,2.6,,False,149,1.7,4,8757,62.6
673,['ROSA MARIA BASTOS GONÇALVES GUERRA'],CDS-PP,0,CDS-PP,1,0,5.9,0,6.16,373,"{'availableMandates': 0, 'blankVotes': 154, 'blankVotesPercentage': 2.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 113, 'nullVotesPercentage': 1.79, 'numberParishes': 4, 'numberVoters': 6327, 'percentageVoters': 56.45}",Bombarral,Leiria,0,154,2.43,,False,113,1.79,4,6327,56.45
674,['JOÃO PAULO HERMENEGILDO'],CH,0,CH,1,0,4.69,0,4.9,297,"{'availableMandates': 0, 'blankVotes': 154, 'blankVotesPercentage': 2.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 113, 'nullVotesPercentage': 1.79, 'numberParishes': 4, 'numberVoters': 6327, 'percentageVoters': 56.45}",Bombarral,Leiria,0,154,2.43,,False,113,1.79,4,6327,56.45
675,['MARIA DA CONCEIÇÃO TEIXEIRA BRASÃO CORREIA'],PCP-PEV,0,PCP-PEV,1,0,5.88,0,6.14,372,"{'availableMandates': 0, 'blankVotes': 154, 'blankVotesPercentage': 2.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 113, 'nullVotesPercentage': 1.79, 'numberParishes': 4, 'numberVoters': 6327, 'percentageVoters': 56.45}",Bombarral,Leiria,0,154,2.43,,False,113,1.79,4,6327,56.45
676,['NUNO MANUEL MOTA DA SILVA'],PPD/PSD,0,PPD/PSD,1,3,38.19,0,39.87,2416,"{'availableMandates': 0, 'blankVotes': 154, 'blankVotesPercentage': 2.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 113, 'nullVotesPercentage': 1.79, 'numberParishes': 4, 'numberVoters': 6327, 'percentageVoters': 56.45}",Bombarral,Leiria,0,154,2.43,,False,113,1.79,4,6327,56.45
677,['RICARDO MANUEL SILVA FERNANDES'],PS,1,PS,1,4,41.13,1,42.94,2602,"{'availableMandates': 0, 'blankVotes': 154, 'blankVotesPercentage': 2.43, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 113, 'nullVotesPercentage': 1.79, 'numberParishes': 4, 'numberVoters': 6327, 'percentageVoters': 56.45}",Bombarral,Leiria,0,154,2.43,,False,113,1.79,4,6327,56.45
678,['CARLOS MANUEL DOS SANTOS SOUSA UBALDO'],B.E.,0,B.E.,1,0,2.37,0,2.46,527,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
679,['PAULO FERNANDO DA PONTE E SOUSA PESSOA DE CARVALHO'],CDS-PP.MPT.PPM.NC,0,CDS-PP.MPT.PPM.NC,1,0,2.82,0,2.92,627,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
680,['EDMUNDO JORGE DOS SANTOS CARVALHO'],CH,0,CH,1,0,2.91,0,3.01,646,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
681,['ANTÓNIO HENRIQUES BARROS'],PCP-PEV,0,PCP-PEV,1,0,1.92,0,1.99,427,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
682,['FERNANDO MANUEL TINTA FERREIRA'],PPD/PSD,0,PPD/PSD,1,3,34.71,0,35.94,7707,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
683,['LUÍS MIGUEL SIMÕES DE ALBUQUERQUE PATACHO'],PS,0,PS,1,1,11.14,0,11.54,2474,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
684,['VÍTOR MANUEL CALISTO MARQUES'],VM,0,VM,1,3,40.7,1,42.14,9037,"{'availableMandates': 0, 'blankVotes': 460, 'blankVotesPercentage': 2.07, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 300, 'nullVotesPercentage': 1.35, 'numberParishes': 12, 'numberVoters': 22205, 'percentageVoters': 48.78}",Caldas da Rainha,Leiria,0,460,2.07,,False,300,1.35,12,22205,48.78
685,['LUIS FILIPE OLIVEIRA GRAÇA OLIVA'],MC21,0,MC21,1,1,18.3,0,18.96,342,"{'availableMandates': 0, 'blankVotes': 28, 'blankVotesPercentage': 1.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 37, 'nullVotesPercentage': 1.98, 'numberParishes': 1, 'numberVoters': 1869, 'percentageVoters': 73.44}",Castanheira de Pêra,Leiria,0,28,1.5,,False,37,1.98,1,1869,73.44
686,['RUI BALTASAR COELHO DA SLVA MATIAS'],PCP-PEV,0,PCP-PEV,1,0,0.86,0,0.89,16,"{'availableMandates': 0, 'blankVotes': 28, 'blankVotesPercentage': 1.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 37, 'nullVotesPercentage': 1.98, 'numberParishes': 1, 'numberVoters': 1869, 'percentageVoters': 73.44}",Castanheira de Pêra,Leiria,0,28,1.5,,False,37,1.98,1,1869,73.44
687,['ALDA MARIA DAS NEVES DELGADO CORREIA DE CARVALHO'],PPD/PSD.CDS-PP,0,PPD/PSD.CDS-PP,1,2,37.35,0,38.69,698,"{'availableMandates': 0, 'blankVotes': 28, 'blankVotesPercentage': 1.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 37, 'nullVotesPercentage': 1.98, 'numberParishes': 1, 'numberVoters': 1869, 'percentageVoters': 73.44}",Castanheira de Pêra,Leiria,0,28,1.5,,False,37,1.98,1,1869,73.44
688,['ANTÓNIO MANUEL HENRIQUES ANTUNES'],PS,0,PS,1,2,40.02,1,41.46,748,"{'availableMandates': 0, 'blankVotes': 28, 'blankVotesPercentage': 1.5, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 37, 'nullVotesPercentage': 1.98, 'numberParishes': 1, 'numberVoters': 1869, 'percentageVoters': 73.44}",Castanheira de Pêra,Leiria,0,28,1.5,,False,37,1.98,1,1869,73.44
689,['FLÁVIO FILIPE ROSA TIGOL'],CH,0,CH,1,0,1.18,0,1.24,43,"{'availableMandates': 0, 'blankVotes': 76, 'blankVotesPercentage': 2.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 79, 'nullVotesPercentage': 2.17, 'numberParishes': 4, 'numberVoters': 3633, 'percentageVoters': 68.94}",Figueiró dos Vinhos,Leiria,0,76,2.09,,False,79,2.17,4,3633,68.94
690,['CARLOS ALBERTO DAVID DOS SANTOS LOPES'],MFI,0,MFI,1,1,19.76,0,20.64,718,"{'availableMandates': 0, 'blankVotes': 76, 'blankVotesPercentage': 2.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 79, 'nullVotesPercentage': 2.17, 'numberParishes': 4, 'numberVoters': 3633, 'percentageVoters': 68.94}",Figueiró dos Vinhos,Leiria,0,76,2.09,,False,79,2.17,4,3633,68.94
691,['PEDRO MIGUEL ALVES MATA'],PCP-PEV,0,PCP-PEV,1,0,0.69,0,0.72,25,"{'availableMandates': 0, 'blankVotes': 76, 'blankVotesPercentage': 2.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 79, 'nullVotesPercentage': 2.17, 'numberParishes': 4, 'numberVoters': 3633, 'percentageVoters': 68.94}",Figueiró dos Vinhos,Leiria,0,76,2.09,,False,79,2.17,4,3633,68.94
692,['LUÍS FILIPE ANTUNES DA SILVA'],PPD/PSD,0,PPD/PSD,1,2,30.47,0,31.83,1107,"{'availableMandates': 0, 'blankVotes': 76, 'blankVotesPercentage': 2.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 79, 'nullVotesPercentage': 2.17, 'numberParishes': 4, 'numberVoters': 3633, 'percentageVoters': 68.94}",Figueiró dos Vinhos,Leiria,0,76,2.09,,False,79,2.17,4,3633,68.94
693,['JORGE MANUEL FERNANDES DE ABREU'],PS,0,PS,1,2,43.63,1,45.57,1585,"{'availableMandates': 0, 'blankVotes': 76, 'blankVotesPercentage': 2.09, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 79, 'nullVotesPercentage': 2.17, 'numberParishes': 4, 'numberVoters': 3633, 'percentageVoters': 68.94}",Figueiró dos Vinhos,Leiria,0,76,2.09,,False,79,2.17,4,3633,68.94
694,['LUÍS MIGUEL FERREIRA DA SILVA'],B.E.,0,B.E.,1,0,2.41,0,2.55,1455,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
695,['FÁBIO ALEXANDRE SEGURO JOAQUIM'],CDS-PP.MPT,0,CDS-PP.MPT,1,0,4.23,0,4.48,2555,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
696,['LUIS PAULO PEREIRA FERNANDES'],CH,0,CH,1,0,5.67,0,6.0,3424,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
697,['MARCOS DA CRUZ RAMOS'],IL,0,IL,1,0,2.39,0,2.52,1440,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
698,['FILIPE ALEXANDRE FERNANDES HONÓRIO'],L,0,L,1,0,0.66,0,0.7,401,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
699,['PEDRO MIGUEL TAVARES MACHADO'],PAN,0,PAN,1,0,1.83,0,1.93,1103,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
700,['SÉRGIO CARVALHO JORGE DA SILVA'],PCP-PEV,0,PCP-PEV,1,0,2.53,0,2.67,1525,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
701,['ÁLVARO JOSÉ MADUREIRA'],PPD/PSD,0,PPD/PSD,1,3,22.38,0,23.66,13502,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
702,['GONÇALO NUNO BÉRTOLO GORDALINA LOPES'],PS,1,PS,1,8,52.47,1,55.48,31658,"{'availableMandates': 0, 'blankVotes': 2134, 'blankVotesPercentage': 3.54, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 1141, 'nullVotesPercentage': 1.89, 'numberParishes': 18, 'numberVoters': 60338, 'percentageVoters': 53.2}",Leiria,Leiria,0,2134,3.54,,False,1141,1.89,18,60338,53.2
703,['AURÉLIO PEDRO MONTEIRO FERREIRA'],+MPM,0,+MPM,1,3,38.31,1,40.12,6408,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
704,['PEDRO MIGUEL LUZIO PEREIRA'],B.E.,0,B.E.,1,0,3.69,0,3.86,617,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
705,['PEDRO MANUEL AMORIM DOS SANTOS JORGE'],CDS-PP,0,CDS-PP,1,0,0.83,0,0.86,138,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
706,['EZEQUIEL ALEXANDRE MIRA MURTEIRA'],CH,0,CH,1,0,3.38,0,3.54,565,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
707,['ALEXANDRA FILIPA DE ARAÚJO SEARA DENGUCHO'],PCP-PEV,0,PCP-PEV,1,2,20.54,0,21.51,3436,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
708,['CARLOS ALEXANDRE DE CARVALHO CAETANO'],PPD/PSD,0,PPD/PSD,1,0,6.87,0,7.19,1149,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
709,['CIDÁLIA MARIA DE OLIVEIRA ROSA FERREIRA'],PS,0,PS,1,2,21.87,0,22.9,3658,"{'availableMandates': 0, 'blankVotes': 480, 'blankVotesPercentage': 2.87, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 276, 'nullVotesPercentage': 1.65, 'numberParishes': 3, 'numberVoters': 16727, 'percentageVoters': 48.71}",Marinha Grande,Leiria,0,480,2.87,,False,276,1.65,3,16727,48.71
710,['TELMA DE JESUS LABORINHO FERREIRA'],B.E.,0,B.E.,1,0,5.13,0,5.45,325,"{'availableMandates': 0, 'blankVotes': 230, 'blankVotesPercentage': 3.63, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 144, 'nullVotesPercentage': 2.27, 'numberParishes': 3, 'numberVoters': 6338, 'percentageVoters': 44.58}",Nazaré,Leiria,0,230,3.63,,False,144,2.27,3,6338,44.58
711,['VICTOR MANUEL RODRIGUEZ GUTIERREZ'],CDS-PP,0,CDS-PP,1,0,1.63,0,1.73,103,"{'availableMandates': 0, 'blankVotes': 230, 'blankVotesPercentage': 3.63, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 144, 'nullVotesPercentage': 2.27, 'numberParishes': 3, 'numberVoters': 6338, 'percentageVoters': 44.58}",Nazaré,Leiria,0,230,3.63,,False,144,2.27,3,6338,44.58
712,['JOÃO PAULO QUINZICO DELGADO'],PCP-PEV,0,PCP-PEV,1,1,14.29,0,15.19,906,"{'availableMandates': 0, 'blankVotes': 230, 'blankVotesPercentage': 3.63, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 144, 'nullVotesPercentage': 2.27, 'numberParishes': 3, 'numberVoters': 6338, 'percentageVoters': 44.58}",Nazaré,Leiria,0,230,3.63,,False,144,2.27,3,6338,44.58
713,['MARIA DE FÁTIMA SOARES LOURENÇO DUARTE'],PPD/PSD,0,PPD/PSD,1,2,28.15,0,29.91,1784,"{'availableMandates': 0, 'blankVotes': 230, 'blankVotesPercentage': 3.63, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 144, 'nullVotesPercentage': 2.27, 'numberParishes': 3, 'numberVoters': 6338, 'percentageVoters': 44.58}",Nazaré,Leiria,0,230,3.63,,False,144,2.27,3,6338,44.58
714,['WALTER MANUEL CAVALEIRO CHICHARRO'],PS,1,PS,1,4,44.9,1,47.72,2846,"{'availableMandates': 0, 'blankVotes': 230, 'blankVotesPercentage': 3.63, 'displayMessage': None, 'hasNoVoting': False, 'nullVotes': 144, 'nullVotesPercentage': 2.27, 'numberParishes': 3, 'numberVoters': 6338, 'percentageVoters': 44.58}",Nazaré,Leiria,0,230,3.63,,False,144,2.27,3,6338,44.58
