Year,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year,votes.validVotesPercentage
2009,,0,CDS-PP,0,0,1,0,7.15,0,833,São João da Madeira,Aveiro,0,144,1.24,,FALSE,99,0.85,1,11658,58.35,Dina Maria da Costa de Pinho Rocha,2009,
2009,,0,PCP-PEV,0,0,1,0,5.76,0,672,São João da Madeira,Aveiro,0,144,1.24,,FALSE,99,0.85,1,11658,58.35,Jorge Manuel de Resende Cortez,2009,
2009,,5,PPD/PSD,1,1,1,5,55.95,1,6523,São João da Madeira,Aveiro,0,144,1.24,,FALSE,99,0.85,1,11658,58.35,Manuel Castro de Almeida,2009,
2009,,2,PS,0,0,1,2,26.39,0,3077,São João da Madeira,Aveiro,0,144,1.24,,FALSE,99,0.85,1,11658,58.35,Pedro Nuno de Oliveira Santos,2009,
2009,,0,PCP-PEV,0,0,1,0,2.25,0,274,Vagos,Aveiro,0,202,1.66,,FALSE,205,1.68,11,12186,57.33,Manuel Mário Domingos,2009,
2009,,5,PPD/PSD,1,1,1,5,63.42,1,7728,Vagos,Aveiro,0,202,1.66,,FALSE,205,1.68,11,12186,57.33,Rui Miguel Rocha da Cruz,2009,
2009,,2,X,0,0,1,2,30.99,0,3777,Vagos,Aveiro,0,202,1.66,,FALSE,205,1.68,11,12186,57.33,Mário dos Santos Martins Júnior,2009,
2009,,3,CDS-PP,0,0,1,3,37.59,0,5652,Vale de Cambra,Aveiro,0,250,1.66,,FALSE,245,1.63,9,15034,66.31,José Alberto Freitas Soares Pinheiro e Silva,2009,
2009,,0,PCP-PEV,0,0,1,0,2.19,0,329,Vale de Cambra,Aveiro,0,250,1.66,,FALSE,245,1.63,9,15034,66.31,João Pedro Tavares Martins,2009,
2009,,4,PPD/PSD,1,1,1,4,46.17,1,6941,Vale de Cambra,Aveiro,0,250,1.66,,FALSE,245,1.63,9,15034,66.31,José António Bastos da Silva,2009,
2009,,0,PS,0,0,1,0,10.76,0,1617,Vale de Cambra,Aveiro,0,250,1.66,,FALSE,245,1.63,9,15034,66.31,Carlos Gabriel Almeida Amorim,2009,
2009,,0,B.E.,0,0,1,0,1.28,0,342,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,Vítor Manuel Aguiar Gomes,2009,
2009,,0,CDS-PP,0,0,1,0,5.16,0,1379,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,José Carlos Esmeraldo dos Santos,2009,
2009,,0,PCP-PEV,0,0,1,0,1.9,0,509,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,Nelson Manuel Nunes Leal,2009,
2009,,0,PND,0,0,1,0,0.39,0,105,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,Alexandra Isabel Ferreira Abrantes,2009,
2009,,3,PPD/PSD,0,0,1,3,34.14,0,9130,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,Manuel de Castro Azevedo,2009,
2009,,4,PS,1,1,1,4,54.48,1,14569,Águeda,Aveiro,0,454,1.7,,FALSE,253,0.95,20,26741,60.96,Gil Nadais Resende da Fonseca,2009,
2009,,0,B.E.,0,0,1,0,2.6,0,418,Ílhavo,Aveiro,0,318,1.97,,FALSE,153,0.95,4,16107,47.55,José Paulo Alves Corceiro,2009,
2009,,0,CDS-PP,0,0,1,0,5.22,0,841,Ílhavo,Aveiro,0,318,1.97,,FALSE,153,0.95,4,16107,47.55,Francisco Luís Pereira da Rocha,2009,
2009,,0,PCP-PEV,0,0,1,0,3.04,0,490,Ílhavo,Aveiro,0,318,1.97,,FALSE,153,0.95,4,16107,47.55,Fernando José de Jesus Marta,2009,
2009,,5,PPD/PSD,1,1,1,5,63.53,1,10233,Ílhavo,Aveiro,0,318,1.97,,FALSE,153,0.95,4,16107,47.55,José Agostinho Ribau Esteves,2009,
2009,,2,PS,0,0,1,2,22.69,0,3654,Ílhavo,Aveiro,0,318,1.97,,FALSE,153,0.95,4,16107,47.55,José Marinho Vaz,2009,
2009,,0,B.E.,0,0,1,0,1.69,0,303,Angra do Heroísmo,Açores,0,237,1.32,,FALSE,137,0.76,19,17951,56.14,Orlando Manuel Labrusco Félix Guerreiro,2009,
2009,,1,CDS-PP,0,0,1,1,13.81,0,2479,Angra do Heroísmo,Açores,0,237,1.32,,FALSE,137,0.76,19,17951,56.14,Artur Manuel Leal Lima,2009,
2009,,0,PCP-PEV,0,0,1,0,1.07,0,192,Angra do Heroísmo,Açores,0,237,1.32,,FALSE,137,0.76,19,17951,56.14,António Gabriel Botelho da Fonseca,2009,
2009,,3,PPD/PSD,0,0,1,3,35.76,0,6419,Angra do Heroísmo,Açores,0,237,1.32,,FALSE,137,0.76,19,17951,56.14,António Lima Cardoso Ventura,2009,
2009,,3,PS,1,0,1,3,45.59,1,8184,Angra do Heroísmo,Açores,0,237,1.32,,FALSE,137,0.76,19,17951,56.14,Andreia Martins Cardoso da Costa,2009,
2009,,3,PPD/PSD,1,1,1,3,52.18,1,1378,Calheta (R.A.A.),Açores,0,37,1.4,,FALSE,19,0.72,5,2641,69.66,Aires António Fagundes Reis,2009,
2009,,2,PS,0,0,1,2,45.7,0,1207,Calheta (R.A.A.),Açores,0,37,1.4,,FALSE,19,0.72,5,2641,69.66,Rogério Paulo Lopes Soares Veiros,2009,
2009,,1,PPD/PSD,0,0,1,1,31.41,0,87,Corvo,Açores,0,5,1.81,,FALSE,5,1.81,1,277,78.69,Deolinda Rosa Machado Vieira Estevão,2009,
2009,,4,PS,1,1,1,4,64.98,1,180,Corvo,Açores,0,5,1.81,,FALSE,5,1.81,1,277,78.69,Manuel das Pedras Rita,2009,
2009,,0,B.E.,0,0,1,0,1.45,0,123,Horta,Açores,0,139,1.64,,FALSE,60,0.71,13,8487,65.06,Maria José Ferreira da Silva,2009,
2009,,0,CDS-PP,0,0,1,0,1.24,0,105,Horta,Açores,0,139,1.64,,FALSE,60,0.71,13,8487,65.06,Alexandre Agostinho Martins de Carvalho,2009,
2009,,0,PCP-PEV,0,0,1,0,9.18,0,779,Horta,Açores,0,139,1.64,,FALSE,60,0.71,13,8487,65.06,José Eduardo Bicudo Decq Mota,2009,
2009,,3,PPD/PSD,0,0,1,3,40.62,0,3447,Horta,Açores,0,139,1.64,,FALSE,60,0.71,13,8487,65.06,Paulo Jorge Peixinho de Oliveira,2009,
2009,,4,PS,1,1,1,4,45.17,1,3834,Horta,Açores,0,139,1.64,,FALSE,60,0.71,13,8487,65.06,João Fernando Brum de Azevedo e Castro,2009,
2009,,0,CDS-PP,0,0,1,0,3.84,0,230,Lagoa (R.A.A),Açores,0,82,1.37,,FALSE,104,1.73,5,5996,49.81,Roberto Manuel Sousa Oliveira,2009,
2009,,0,PCP-PEV,0,0,1,0,1.3,0,78,Lagoa (R.A.A),Açores,0,82,1.37,,FALSE,104,1.73,5,5996,49.81,Júlio Manuel Pereira Duarte,2009,
2009,,2,PPD/PSD,0,0,1,2,25.4,0,1523,Lagoa (R.A.A),Açores,0,82,1.37,,FALSE,104,1.73,5,5996,49.81,Rui Manuel Maciel Costa de Oliveira Ramos,2009,
